YIL075C.cytoplasm,YIL075C.nucleus
YIL076W.early Golgi,YIL076W.Golgi
YIL079C.cytoplasm,YIL079C.nucleus
YIL097W.cytoplasm,YIL097W.nucleus
YIL106W.cytoplasm,YIL106W.spindle pole
YIL132C.cytoplasm,YIL132C.nucleus
YIL140W.bud neck,YIL140W.cell periphery
YIL140W.bud neck,YIL140W.bud
YIL140W.cell periphery,YIL140W.bud
YIL140W.bud neck,YIL140W.vacuole
YIL140W.cell periphery,YIL140W.vacuole
YIL140W.bud,YIL140W.vacuole
YIL148W.cytoplasm,YIL148W.nucleus
YIL150C.cytoplasm,YIL150C.nucleus
YIL153W.cytoplasm,YIL153W.nucleus
YIR002C.cytoplasm,YIR002C.nucleus
YIR005W.cytoplasm,YIR005W.nucleus
YIR009W.cytoplasm,YIR009W.nucleus
YIR011C.cytoplasm,YIR011C.nucleus
YIR012W.cytoplasm,YIR012W.nucleus
YIR017C.cytoplasm,YIR017C.nucleus
YJL013C.cytoplasm,YJL013C.nucleus
YJL024C.early Golgi,YJL024C.punctate composite
YJL026W.cytoplasm,YJL026W.nucleus
YJL029C.early Golgi,YJL029C.punctate composite
YJL030W.cytoplasm,YJL030W.nucleus
YJL035C.cytoplasm,YJL035C.nucleus
YJL047C.cytoplasm,YJL047C.nucleus
YJL050W.nucleus,YJL050W.nucleolus
YJL060W.cytoplasm,YJL060W.mitochondrion
YJL085W.bud neck,YJL085W.cell periphery
YJL085W.bud neck,YJL085W.bud
YJL085W.cell periphery,YJL085W.bud
YJL090C.cytoplasm,YJL090C.nucleus
YJL097W.ER,YJL097W.vacuole
YJL110C.cytoplasm,YJL110C.nucleus
YJL143W.cytoplasm,YJL143W.nucleus
YJL146W.cytoplasm,YJL146W.nucleus
YJL154C.endosome,YJL154C.vacuolar membrane
YJL164C.cytoplasm,YJL164C.nucleus
YJL194W.cytoplasm,YJL194W.nucleus
YJR005W.bud neck,YJR005W.cell periphery
YJR017C.cytoplasm,YJR017C.nucleus
YJR022W.cytoplasm,YJR022W.nucleus
YJR035W.cytoplasm,YJR035W.nucleus
YJR043C.cytoplasm,YJR043C.nucleus
YJR049C.cytoplasm,YJR049C.nucleus
YJR050W.cytoplasm,YJR050W.nucleus
YJR052W.cytoplasm,YJR052W.nucleus
YJR058C.bud neck,YJR058C.cell periphery
YJR067C.cytoplasm,YJR067C.nucleus
YJR070C.cytoplasm,YJR070C.nucleus
YJR073C.ER,YJR073C.vacuole
YJR076C.bud neck,YJR076C.cell periphery
YJR084W.cytoplasm,YJR084W.nucleus
YJR086W.cytoplasm,YJR086W.punctate composite
YJR089W.nucleus,YJR089W.spindle pole
YJR089W.nucleus,YJR089W.microtubule
YJR089W.spindle pole,YJR089W.microtubule
YJR104C.cytoplasm,YJR104C.nucleus
YJR132W.cytoplasm,YJR132W.nucleus
YJR134C.early Golgi,YJR134C.Golgi
YJR135C.nucleus,YJR135C.spindle pole
YJR148W.cytoplasm,YJR148W.nucleus
YKL006C-A.cytoplasm,YKL006C-A.nucleus
YKL009W.nucleus,YKL009W.nucleolus
YKL010C.cytoplasm,YKL010C.nucleus
YKL038W.cytoplasm,YKL038W.nucleus
YKL041W.endosome,YKL041W.punctate composite
YKL049C.nucleus,YKL049C.spindle pole
YKL067W.cytoplasm,YKL067W.nucleus
YKL074C.cytoplasm,YKL074C.nucleus
YKL079W.cytoplasm,YKL079W.bud
YKL086W.cytoplasm,YKL086W.nucleus
YKL103C.cytoplasm,YKL103C.punctate composite
YKL114C.nucleus,YKL114C.mitochondrion
YKL117W.cytoplasm,YKL117W.nucleus
YKL125W.nucleus,YKL125W.nucleolus
YKL129C.cytoplasm,YKL129C.actin
YKL130C.cytoplasm,YKL130C.nucleus
YKL139W.cytoplasm,YKL139W.nucleus
YKL149C.cytoplasm,YKL149C.nucleus
YKL164C.cytoplasm,YKL164C.nucleus
YKL166C.cytoplasm,YKL166C.nucleus
YKL183W.cytoplasm,YKL183W.nucleus
YKL189W.cytoplasm,YKL189W.nucleus
YKL193C.cytoplasm,YKL193C.nucleus
YKL210W.cytoplasm,YKL210W.nucleus
YKL213C.cytoplasm,YKL213C.nucleus
YKL214C.cytoplasm,YKL214C.nucleus
YKR001C.cytoplasm,YKR001C.endosome
YKR001C.cytoplasm,YKR001C.punctate composite
YKR001C.endosome,YKR001C.punctate composite
YKR014C.cytoplasm,YKR014C.nucleus
YKR018C.cytoplasm,YKR018C.nucleus
YKR022C.cytoplasm,YKR022C.nucleus
YKR022C.cytoplasm,YKR022C.ER
YKR022C.nucleus,YKR022C.ER
YKR038C.cytoplasm,YKR038C.nucleus
YKR055W.cytoplasm,YKR055W.nucleus
YKR060W.nucleus,YKR060W.nucleolus
YKR079C.cytoplasm,YKR079C.nucleus
YKR081C.nucleus,YKR081C.nucleolus
YKR086W.cytoplasm,YKR086W.nucleus
YKR090W.cytoplasm,YKR090W.bud neck
YKR090W.cytoplasm,YKR090W.cell periphery
YKR090W.bud neck,YKR090W.cell periphery
YKR090W.cytoplasm,YKR090W.bud
YKR090W.bud neck,YKR090W.bud
YKR090W.cell periphery,YKR090W.bud
YLL001W.mitochondrion,YLL001W.punctate composite
YLL008W.cytoplasm,YLL008W.nucleus
YLL008W.cytoplasm,YLL008W.nucleolus
YLL008W.nucleus,YLL008W.nucleolus
YLL024C.cytoplasm,YLL024C.nucleus
YLL034C.nucleus,YLL034C.nucleolus
YLL039C.cytoplasm,YLL039C.nucleus
YLR002C.nucleus,YLR002C.nucleolus
YLR016C.cytoplasm,YLR016C.nucleus
YLR032W.cytoplasm,YLR032W.nucleus
YLR035C.cytoplasm,YLR035C.nucleus
YLR043C.cytoplasm,YLR043C.nucleus
